date,co2
1958-03-15,315.71
1958-04-15,317.45
1958-05-15,317.5
1958-06-15,
1958-07-15,315.86
1958-08-15,314.93
1958-09-15,313.2
1958-10-15,
1958-11-15,313.33
1958-12-15,314.67
1959-01-15,315.62
1959-02-15,316.38
1959-03-15,316.71
1959-04-15,317.72
1959-05-15,318.29
1959-06-15,318.15
1959-07-15,316.54
1959-08-15,314.8
1959-09-15,313.84
1959-10-15,313.26
1959-11-15,314.8
1959-12-15,315.58
1960-01-15,316.43
1960-02-15,316.97
1960-03-15,317.58
1960-04-15,319.02
1960-05-15,320.03
1960-06-15,319.59
1960-07-15,318.18
1960-08-15,315.91
1960-09-15,314.16
1960-10-15,313.83
1960-11-15,315.0
1960-12-15,316.19
1961-01-15,316.93
1961-02-15,317.7
1961-03-15,318.54
1961-04-15,319.48
1961-05-15,320.58
1961-06-15,319.77
1961-07-15,318.57
1961-08-15,316.79
1961-09-15,314.8
1961-10-15,315.38
1961-11-15,316.1
1961-12-15,317.01
1962-01-15,317.94
1962-02-15,318.56
1962-03-15,319.68
1962-04-15,320.63
1962-05-15,321.01
1962-06-15,320.55
1962-07-15,319.58
1962-08-15,317.4
1962-09-15,316.26
1962-10-15,315.42
1962-11-15,316.69
1962-12-15,317.69
1963-01-15,318.74
1963-02-15,319.08
1963-03-15,319.86
1963-04-15,321.39
1963-05-15,322.25
1963-06-15,321.47
1963-07-15,319.74
1963-08-15,317.77
1963-09-15,316.21
1963-10-15,315.99
1963-11-15,317.12
1963-12-15,318.31
1964-01-15,319.57
1964-02-15,
1964-03-15,
1964-04-15,
1964-05-15,322.25
1964-06-15,321.89
1964-07-15,320.44
1964-08-15,318.7
1964-09-15,316.7
1964-10-15,316.79
1964-11-15,317.79
1964-12-15,318.71
1965-01-15,319.44
1965-02-15,320.44
1965-03-15,320.89
1965-04-15,322.13
1965-05-15,322.16
1965-06-15,321.87
1965-07-15,321.39
1965-08-15,318.81
1965-09-15,317.81
1965-10-15,317.3
1965-11-15,318.87
1965-12-15,319.42
1966-01-15,320.62
1966-02-15,321.59
1966-03-15,322.39
1966-04-15,323.87
1966-05-15,324.01
1966-06-15,323.75
1966-07-15,322.39
1966-08-15,320.37
1966-09-15,318.64
1966-10-15,318.1
1966-11-15,319.79
1966-12-15,321.08
1967-01-15,322.07
1967-02-15,322.5
1967-03-15,323.04
1967-04-15,324.42
1967-05-15,325.0
1967-06-15,324.09
1967-07-15,322.55
1967-08-15,320.92
1967-09-15,319.31
1967-10-15,319.31
1967-11-15,320.72
1967-12-15,321.96
1968-01-15,322.57
1968-02-15,323.15
1968-03-15,323.89
1968-04-15,325.02
1968-05-15,325.57
1968-06-15,325.36
1968-07-15,324.14
1968-08-15,322.03
1968-09-15,320.41
1968-10-15,320.25
1968-11-15,321.31
1968-12-15,322.84
1969-01-15,324.0
1969-02-15,324.42
1969-03-15,325.64
1969-04-15,326.66
1969-05-15,327.34
1969-06-15,326.76
1969-07-15,325.88
1969-08-15,323.67
1969-09-15,322.38
1969-10-15,321.78
1969-11-15,322.85
1969-12-15,324.11
1970-01-15,325.03
1970-02-15,325.99
1970-03-15,326.87
1970-04-15,328.13
1970-05-15,328.07
1970-06-15,327.66
1970-07-15,326.35
1970-08-15,324.69
1970-09-15,323.1
1970-10-15,323.16
1970-11-15,323.98
1970-12-15,325.13
1971-01-15,326.17
1971-02-15,326.68
1971-03-15,327.18
1971-04-15,327.78
1971-05-15,328.92
1971-06-15,328.57
1971-07-15,327.34
1971-08-15,325.46
1971-09-15,323.36
1971-10-15,323.57
1971-11-15,324.8
1971-12-15,326.01
1972-01-15,326.77
1972-02-15,327.63
1972-03-15,327.75
1972-04-15,329.72
1972-05-15,330.07
1972-06-15,329.09
1972-07-15,328.05
1972-08-15,326.32
1972-09-15,324.93
1972-10-15,325.06
1972-11-15,326.5
1972-12-15,327.55
1973-01-15,328.54
1973-02-15,329.56
1973-03-15,330.3
1973-04-15,331.5
1973-05-15,332.48
1973-06-15,332.07
1973-07-15,330.87
1973-08-15,329.31
1973-09-15,327.51
1973-10-15,327.18
1973-11-15,328.16
1973-12-15,328.64
1974-01-15,329.35
1974-02-15,330.71
1974-03-15,331.48
1974-04-15,332.65
1974-05-15,333.2
1974-06-15,332.16
1974-07-15,331.07
1974-08-15,329.12
1974-09-15,327.32
1974-10-15,327.28
1974-11-15,328.3
1974-12-15,329.58
1975-01-15,330.73
1975-02-15,331.46
1975-03-15,331.9
1975-04-15,333.17
1975-05-15,333.94
1975-06-15,333.45
1975-07-15,331.98
1975-08-15,329.95
1975-09-15,328.5
1975-10-15,328.35
1975-11-15,329.37
1975-12-15,
1976-01-15,331.59
1976-02-15,332.75
1976-03-15,333.52
1976-04-15,334.64
1976-05-15,334.77
1976-06-15,334.0
1976-07-15,333.06
1976-08-15,330.68
1976-09-15,328.95
1976-10-15,328.75
1976-11-15,330.15
1976-12-15,331.62
1977-01-15,332.66
1977-02-15,333.13
1977-03-15,334.95
1977-04-15,336.13
1977-05-15,336.93
1977-06-15,336.16
1977-07-15,334.88
1977-08-15,332.56
1977-09-15,331.29
1977-10-15,331.27
1977-11-15,332.41
1977-12-15,333.6
1978-01-15,334.95
1978-02-15,335.25
1978-03-15,336.66
1978-04-15,337.69
1978-05-15,338.03
1978-06-15,338.01
1978-07-15,336.4
1978-08-15,334.41
1978-09-15,332.37
1978-10-15,332.41
1978-11-15,333.75
1978-12-15,334.9
1979-01-15,336.14
1979-02-15,336.69
1979-03-15,338.27
1979-04-15,338.95
1979-05-15,339.21
1979-06-15,339.26
1979-07-15,337.54
1979-08-15,335.75
1979-09-15,333.98
1979-10-15,334.19
1979-11-15,335.31
1979-12-15,336.81
1980-01-15,337.9
1980-02-15,338.34
1980-03-15,340.01
1980-04-15,340.93
1980-05-15,341.48
1980-06-15,341.33
1980-07-15,339.4
1980-08-15,337.7
1980-09-15,336.19
1980-10-15,336.15
1980-11-15,337.27
1980-12-15,338.32
1981-01-15,339.29
1981-02-15,340.55
1981-03-15,341.61
1981-04-15,342.53
1981-05-15,343.04
1981-06-15,342.54
1981-07-15,340.78
1981-08-15,338.44
1981-09-15,336.95
1981-10-15,337.08
1981-11-15,338.58
1981-12-15,339.88
1982-01-15,340.96
1982-02-15,341.73
1982-03-15,342.82
1982-04-15,343.97
1982-05-15,344.63
1982-06-15,343.79
1982-07-15,342.32
1982-08-15,340.09
1982-09-15,338.28
1982-10-15,338.29
1982-11-15,339.6
1982-12-15,340.9
1983-01-15,341.68
1983-02-15,342.9
1983-03-15,343.33
1983-04-15,345.25
1983-05-15,346.03
1983-06-15,345.63
1983-07-15,344.19
1983-08-15,342.27
1983-09-15,340.35
1983-10-15,340.38
1983-11-15,341.59
1983-12-15,343.05
1984-01-15,344.1
1984-02-15,344.79
1984-03-15,345.52
1984-04-15,
1984-05-15,347.63
1984-06-15,346.97
1984-07-15,345.53
1984-08-15,343.55
1984-09-15,341.4
1984-10-15,341.67
1984-11-15,343.1
1984-12-15,344.7
1985-01-15,345.21
1985-02-15,346.16
1985-03-15,347.74
1985-04-15,348.34
1985-05-15,349.06
1985-06-15,348.38
1985-07-15,346.72
1985-08-15,345.02
1985-09-15,343.27
1985-10-15,343.13
1985-11-15,344.49
1985-12-15,345.88
1986-01-15,346.56
1986-02-15,347.28
1986-03-15,348.01
1986-04-15,349.77
1986-05-15,350.38
1986-06-15,349.93
1986-07-15,348.16
1986-08-15,346.08
1986-09-15,345.22
1986-10-15,344.51
1986-11-15,345.93
1986-12-15,347.22
1987-01-15,348.52
1987-02-15,348.73
1987-03-15,349.73
1987-04-15,351.31
1987-05-15,352.09
1987-06-15,351.53
1987-07-15,350.11
1987-08-15,348.08
1987-09-15,346.52
1987-10-15,346.59
1987-11-15,347.96
1987-12-15,349.16
1988-01-15,350.39
1988-02-15,351.64
1988-03-15,352.41
1988-04-15,353.69
1988-05-15,354.21
1988-06-15,353.72
1988-07-15,352.69
1988-08-15,350.4
1988-09-15,348.92
1988-10-15,349.13
1988-11-15,350.2
1988-12-15,351.41
1989-01-15,352.91
1989-02-15,353.27
1989-03-15,353.96
1989-04-15,355.64
1989-05-15,355.86
1989-06-15,355.37
1989-07-15,353.99
1989-08-15,351.81
1989-09-15,350.05
1989-10-15,350.25
1989-11-15,351.49
1989-12-15,352.85
1990-01-15,353.8
1990-02-15,355.04
1990-03-15,355.73
1990-04-15,356.32
1990-05-15,357.32
1990-06-15,356.34
1990-07-15,354.84
1990-08-15,353.01
1990-09-15,351.31
1990-10-15,351.62
1990-11-15,353.07
1990-12-15,354.33
1991-01-15,354.84
1991-02-15,355.73
1991-03-15,357.23
1991-04-15,358.66
1991-05-15,359.13
1991-06-15,358.13
1991-07-15,356.19
1991-08-15,353.85
1991-09-15,352.25
1991-10-15,352.35
1991-11-15,353.81
1991-12-15,355.12
1992-01-15,356.25
1992-02-15,357.11
1992-03-15,357.86
1992-04-15,359.09
1992-05-15,359.59
1992-06-15,359.33
1992-07-15,357.01
1992-08-15,354.94
1992-09-15,352.96
1992-10-15,353.32
1992-11-15,354.32
1992-12-15,355.57
1993-01-15,357.0
1993-02-15,357.31
1993-03-15,358.47
1993-04-15,359.27
1993-05-15,360.19
1993-06-15,359.52
1993-07-15,357.33
1993-08-15,355.64
1993-09-15,354.03
1993-10-15,354.12
1993-11-15,355.41
1993-12-15,356.91
1994-01-15,358.24
1994-02-15,358.92
1994-03-15,359.99
1994-04-15,361.23
1994-05-15,361.65
1994-06-15,360.81
1994-07-15,359.38
1994-08-15,357.46
1994-09-15,355.73
1994-10-15,356.07
1994-11-15,357.53
1994-12-15,358.98
1995-01-15,359.92
1995-02-15,360.86
1995-03-15,361.83
1995-04-15,363.3
1995-05-15,363.69
1995-06-15,363.19
1995-07-15,361.64
1995-08-15,359.12
1995-09-15,358.17
1995-10-15,357.99
1995-11-15,359.45
1995-12-15,360.68
1996-01-15,362.07
1996-02-15,363.24
1996-03-15,364.17
1996-04-15,364.57
1996-05-15,365.13
1996-06-15,364.92
1996-07-15,363.55
1996-08-15,361.38
1996-09-15,359.54
1996-10-15,359.58
1996-11-15,360.89
1996-12-15,362.24
1997-01-15,363.09
1997-02-15,364.03
1997-03-15,364.51
1997-04-15,366.35
1997-05-15,366.64
1997-06-15,365.59
1997-07-15,364.31
1997-08-15,362.25
1997-09-15,360.29
1997-10-15,360.82
1997-11-15,362.49
1997-12-15,364.38
1998-01-15,365.26
1998-02-15,365.98
1998-03-15,367.24
1998-04-15,368.66
1998-05-15,369.42
1998-06-15,368.99
1998-07-15,367.82
1998-08-15,365.95
1998-09-15,364.02
1998-10-15,364.4
1998-11-15,365.52
1998-12-15,367.13
1999-01-15,368.18
1999-02-15,369.07
1999-03-15,369.68
1999-04-15,370.99
1999-05-15,370.96
1999-06-15,370.3
1999-07-15,369.45
1999-08-15,366.9
1999-09-15,364.81
1999-10-15,365.37
1999-11-15,366.72
1999-12-15,368.1
2000-01-15,369.29
2000-02-15,369.54
2000-03-15,370.6
2000-04-15,371.82
2000-05-15,371.58
2000-06-15,371.7
2000-07-15,369.86
2000-08-15,368.13
2000-09-15,367.0
2000-10-15,367.03
2000-11-15,368.37
2000-12-15,369.67
2001-01-15,370.59
2001-02-15,371.51
2001-03-15,372.43
2001-04-15,373.37
2001-05-15,373.85
2001-06-15,373.21
2001-07-15,371.51
2001-08-15,369.61
2001-09-15,368.18
2001-10-15,368.45
2001-11-15,369.76
2001-12-15,371.24
2002-01-15,372.53
2002-02-15,373.2
2002-03-15,374.12
2002-04-15,375.02
2002-05-15,375.76
2002-06-15,375.52
2002-07-15,374.01
2002-08-15,371.85
2002-09-15,370.75
2002-10-15,370.55
2002-11-15,372.25
2002-12-15,373.79
2003-01-15,374.88
2003-02-15,375.64
2003-03-15,376.46
2003-04-15,377.73
2003-05-15,378.6
2003-06-15,378.28
2003-07-15,376.7
2003-08-15,374.38
2003-09-15,373.17
2003-10-15,373.14
2003-11-15,374.66
2003-12-15,375.99
2004-01-15,377.0
2004-02-15,377.87
2004-03-15,378.88
2004-04-15,380.35
2004-05-15,380.62
2004-06-15,379.69
2004-07-15,377.47
2004-08-15,376.01
2004-09-15,374.25
2004-10-15,374.46
2004-11-15,376.16
2004-12-15,377.51
2005-01-15,378.46
2005-02-15,379.73
2005-03-15,380.77
2005-04-15,382.29
2005-05-15,382.45
2005-06-15,382.21
2005-07-15,380.74
2005-08-15,378.74
2005-09-15,376.7
2005-10-15,377.0
2005-11-15,378.35
2005-12-15,380.11
2006-01-15,381.38
2006-02-15,382.19
2006-03-15,382.67
2006-04-15,384.61
2006-05-15,385.03
2006-06-15,384.05
2006-07-15,382.46
2006-08-15,380.41
2006-09-15,378.85
2006-10-15,379.13
2006-11-15,380.15
2006-12-15,381.82
2007-01-15,382.89
2007-02-15,383.9
2007-03-15,384.58
2007-04-15,386.5
2007-05-15,386.56
2007-06-15,386.1
2007-07-15,384.5
2007-08-15,381.99
2007-09-15,380.96
2007-10-15,381.12
2007-11-15,382.45
2007-12-15,383.95
2008-01-15,385.52
2008-02-15,385.82
2008-03-15,386.03
2008-04-15,387.21
2008-05-15,388.54
2008-06-15,387.76
2008-07-15,386.35
2008-08-15,384.09
2008-09-15,383.18
2008-10-15,382.99
2008-11-15,384.19
2008-12-15,385.56
2009-01-15,386.94
2009-02-15,387.48
2009-03-15,388.82
2009-04-15,389.55
2009-05-15,390.14
2009-06-15,389.48
2009-07-15,388.03
2009-08-15,386.11
2009-09-15,384.74
2009-10-15,384.43
2009-11-15,386.02
2009-12-15,387.42
2010-01-15,388.71
2010-02-15,390.2
2010-03-15,391.17
2010-04-15,392.46
2010-05-15,393.0
2010-06-15,392.15
2010-07-15,390.2
2010-08-15,388.35
2010-09-15,386.85
2010-10-15,387.24
2010-11-15,388.67
2010-12-15,389.79
2011-01-15,391.33
2011-02-15,391.86
2011-03-15,392.6
2011-04-15,393.25
2011-05-15,394.19
2011-06-15,393.73
2011-07-15,392.51
2011-08-15,390.13
2011-09-15,389.08
2011-10-15,389.0
2011-11-15,390.28
2011-12-15,391.86
2012-01-15,393.12
2012-02-15,393.86
2012-03-15,394.4
2012-04-15,396.18
2012-05-15,396.74
2012-06-15,395.71
2012-07-15,394.36
2012-08-15,392.39
2012-09-15,391.11
2012-10-15,391.05
2012-11-15,392.98
2012-12-15,394.34
2013-01-15,395.55
2013-02-15,396.8
2013-03-15,397.43
2013-04-15,398.41
2013-05-15,399.78
2013-06-15,398.61
2013-07-15,397.32
2013-08-15,395.2
2013-09-15,393.45
2013-10-15,393.7
2013-11-15,395.16
2013-12-15,396.84
2014-01-15,397.85
2014-02-15,398.01
2014-03-15,399.77
2014-04-15,401.38
2014-05-15,401.78
2014-06-15,401.25
2014-07-15,399.1
2014-08-15,397.03
2014-09-15,395.38
2014-10-15,396.03
2014-11-15,397.28
2014-12-15,398.91
2015-01-15,399.98
2015-02-15,400.28
2015-03-15,401.54
2015-04-15,403.28
2015-05-15,403.96
2015-06-15,402.8
2015-07-15,401.31
2015-08-15,398.93
2015-09-15,397.63
2015-10-15,398.29
2015-11-15,400.16
2015-12-15,401.85
2016-01-15,402.52
2016-02-15,404.04
2016-03-15,404.83
2016-04-15,407.42
2016-05-15,407.7
2016-06-15,406.81
2016-07-15,404.39
2016-08-15,402.25
2016-09-15,401.03
2016-10-15,401.57
2016-11-15,403.53
2016-12-15,404.42
2017-01-15,406.13
2017-02-15,406.42
2017-03-15,407.18
2017-04-15,409.0
2017-05-15,409.65
2017-06-15,408.84
2017-07-15,407.07
2017-08-15,405.07
2017-09-15,403.38
